Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
2128,Bøker i Bergen 3. Kvinner på nynorsk.,00:23:55,Wed Apr 02 00:00:00 CEST 1986,U-MaticLB,Studiosamtale mellom Sigrid Bø Grønstøl og Idar Stegane om kvinner som skriver på nynorsk.,"Sigrid Bø Grønstøl, Idar Stegane.",Arnt Brandseth,UMS,,Master,Nær-TV,,,
2170,Flagg.,00:06:51,Wed Jan 01 00:00:00 CET 1986,U-MaticLB,Festspillutstilling 1986 i Galleri 1 Hordaland Kunstnersentrum.,,Stein U. Hitland,UMS,,Dub,Nær-TV,,,
2179,Kampen om 17.mai.,00:24:19,Fri May 16 00:00:00 CEST 1986,U-MaticLB,Kampen om 17.mai. Førstelektor Sigurd Aarnes forteller i studio om nasjonaldagens historie og måter åfeiere den på fram til i dag.,Sigurd Aarnes.,Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2268,Fra papir til laser.,00:18:23,Wed Feb 04 00:00:00 CET 1987,U-MaticLB,Om nye lagringsmedia. Digitale og analoge plater. Gjennomgang av NAVF's EDB senters forsøksprosjekt med å lage videoplate.,Øystein Reigem,Gjartrud Kolaas,UMS,,Master,Nær-TV,ikke spillbar,,
2270,På ekspedisjon til Antarktis.,01:00:00,Thu Jan 01 00:00:00 CET 1987,U-MaticLB,Program fra den norske ekspedisjonen til Antarktis med skipet Andenes 1984/85. Studiosamtale om Monica Christensens ekspedisjon 1987.,"Egil Erikson, Yngvar Gjessing, Kristen Haugland.",Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2271,Møte med Knut Fægri.,00:30:25,Tue Jan 01 00:00:00 CET 1985,U-MaticLB,Professor Knut Fægri er en av nestorene ved UiB. En av pådriverne for å få etablert Universitetet og et engasjert samfunnsmenneske med mangfoldige interesser. Fægri ser tilbake på utviklingen ved Universitetet og i eget fagområde.,Knut Fægri,Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2273,Vår todelte hjerne.,00:21:51,Thu Jan 01 00:00:00 CET 1987,U-MaticLB,Intervju med Kenneth Hugdahl om nyare forskning innan hjernegransking.,Kenneth Hugdahl,Arnt Brandseth,UMS,,Master,Nær-TV,,,
2274,Med en skje at æde.,00:09:50,Sun Aug 23 00:00:00 CEST 1987,U-MaticLB,"Programmet ble laget i forbindelse med utstillingen ""Hushold i middelalderen"" på Bryggens Museum.   Anne Ågotnes forteller om utstillingen og om kostvaner i middelalderen.",,Arnt Brandseth,UMS,,Master,Nær-TV,,,
2275,Ekkoet fra Wittenberg.,00:30:15,Thu Jan 01 00:00:00 CET 1987,U-MaticLB,"Programmet handler om billedstormen i kirkene og billedsynet etter reformasjonen. Om hvordan synet skiftet fra Luther som var liberal, til de strenge reformatorene Calvin og Zwingly. Om hvordan billedbruken ble strengere i den katolske kirke.",Henrik von Achen,Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2277,Orknøyene - et stykke norsk historie.,00:19:25,Sat Jun 20 00:00:00 CEST 1987,U-MaticLB,Om forholdet Norge-Orknøyene i vikingtiden til dagens samkvem og Vennskapsforeningen Orknøyene-Norge. Vi følger en utstilling fra Hist. Mus. til Kirkwall med funn gravd ut på Orknøyene. Dette i forbindelse med 850års jubileet for St.Magnuskatedralen.,"Sigrid Kaland, Knut Helle, Arne Abrahamsen.","G.K, Arne Abrahamsen",UMS,,Master,Nær-TV,,,
