Ref,Programtittel,Lengde,Prod_dato,Arkivert,Format,Opptaksted,Innhold,Produsent_Regi,Oppdragsgiver,Emne,Personer,Rettigheter,Lyd,Foto,Arkivert_Billy
221.0,Christiekonferansen 2012,,2012.0,14.12.12,HD,Bergen,Christiekonferansen 2012,"Arnt Brandseth, May-Britt Skjelvik",UiB,Christiekonferansen 2012,,UiB,Frode Ims,Frode Ims,
222.0,Selmer og personnummeret,,2013.0,19.05.14,SD - HD,Bergen,Prof. Ernst S. Selmer (1920-2006) var hjernen bak personnummeret som ble innført i 1964. Selmer var professor ved UiB i tiden 1957-1990. Her får du vite historien om tilblivelsen av dette nummersystemet.,"Nils A Sæbø, Arnt Brandseth",UiB,Selmer og personnummeret, Ernst S. Selmer,UiB,Eirik Meyer Amundsen,Eirik Meyer Amundsen,
223.0,Regnmakerne / Rainmakers,,2013.0,19.05.14,HD,Tanzania,Regnmakerne / Rainmakers. Et hemmelig regnrituale er i ferd med å dø ut. Antropologene Frode Storaas og Knut Christian Myhre drar til Tanzania for å prøve å sikre seg filmopptak av dette. Filmen gir et nært møte med antropologene og folket de studerer. Mediefiler arkivert 20.05.14 - 23.05.14 ,Frode Ims,UiB,Regnmakerne / Rainmakers,"Frode Storaas, Knut Christian Myhre",UiB,Frode Ims,Frode Ims,
224.0,Alumnifilmer 2014,,2014.0,19.05.14,HD,Bergen,Alumnifilmer 2014. Film 1 -Monica Mæland og Jan Martin Nordbotten forteller om studietiden ved Universitetet I Bergen. Film 2 - Siri Lill Mannes og Frode Thuen forteller om studietiden ved Universitetet i Bergen. Film 3 - Ingvard Wilhelmsen og Frøy Gudbrandsen forteller om studietiden ved Universitetet i Bergen.,Arnt Brandseth,UiB,Alumnifilmer 2014,"Monica Mæland, Jan Martin Nordbotten, Siri Lill Mannes,  Frode Thuen, Ingvard Wilhelmsen, Frøy Gudbrandsen",UiB,"Arnt Brandseth, Frode Ims","Arnt Brandseth, Frode Ims",
225.0,Angst på nett,,2013.0,19.05.14,HD,Bergen,Angst på nett. Doktorgradsarbeidet til Tine Nordgreen viser at angstbehandling via internett har like stor effekt som tradisjonell behandling.,"Arnt Brandseth, May-Britt Skjelvik",UiB,Angst på nett,Tine Nordgreen,UiB,Arnt Brandseth,Arnt Brandseth,
226.0,150 år og første gang til tannlegen,,2013.0,19.05.14,HD,Bergen,"150 år og første gang til tannlegen. Se hvorfor elvemuslingene måtte ha den livreddende behandlingen. uib, per jakobsen, musling, elvemusling, tannlege","Arnt Brandseth, Solrun Dregelid",UiB,150 år og første gang til tannlegen,Tine Nordgreen,UiB,Arnt Brandseth,Arnt Brandseth,
227.0,Julens botanikk - Blondehuset,,2013.0,26.05.14,HD,Aboretet - Blondehuset,"Julens botanikk - Blondehuset. The botany of Christmas. Besøk Blondehuset i Arboretet og kom i julestemning. I hele adventstiden kan du se og ikke minst lukte utstillingen med planter som hører julen til. Blondehuset, Arboretet, julestemning, Universitetet i Bergen, utstilling, jul, kanel, appelsin, mandel, nellik, julestjerne, AF101",Frode Ims,UiB,Julens botanikk - Blondehuset,,UiB,Frode Ims,Frode Ims,
228.0,UiB har betydd enormt mye for karrieren min,,2013.0,26.05.14,HD,Bergen,UiB har betydd enormt mye for karrieren min. Professor Toril Moi om hennes forhold til UiB og til språket.,Solrun Dregelid,UiB,UiB har betydd enormt mye for karrieren min,Toril Moi ,UiB,Frode Ims,Frode Ims,
229.0,Meldinger fra Lofoten - Messages from Lofoten,,2014.0,26.05.14,HD,"Lofoten, Bergen","Meldinger fra Lofoten - Messages from Lofoten. This short movie is about the issue of opening petroleum areas in the region of Lofoten, in Norway. It was recorded during a workshop in Lofoten, in June 2013, gathering 10 local citizens from across a variety of ages and backgrounds. This workshop aimed to map the preferred futures of these local citizens for their region, thus going beyond the usual cost-benefit analyses and environmental risk assessments provided in expert-based reports. This film is part of the UncAP project (Assessing Uncertainties relating to opening new areas for Petroleum activities in Lofoten), funded by the Norwegian Research Council from June 2011 to June 2013. More info at: http://www.uib.no/svt/25804/uncap-pro...","Anne Blanchard, Frode Ims",UiB,Meldinger fra Lofoten - Messages from Lofoten ,,"UiB, Anne Blanchard",Anne Blanchard,Anne Blanchard,
230.0,MAXMUR,,2014.0,26.05.14,HD,Erbil-området i Nord-Irak,"MAXMUR. Forsker er Kariane Westreheim, foto/filming: Margareth Barndon. Prosjektet til Westrheim handler om ungdom og læringsstrategier i en kurdisk flyktningeleir i Erbil-området i Nord-Irak. Noe film er fra en leir for kurdisk motstandsbevegelse i fjellene utenfor Erbil, i Nord-Irak. Førsteamanuensis Kariane Westrheim, Universitetet i Bergen, har i forbindelse med prosjektet «Young Voices from Maxmur»: The Impact of Education in Areas of War and Political Conflict”, intervjuet ungdom i alderen 16-18 år, som bor i Maxmur-leiren. Hensikten med prosjektet er å undersøke hvordan kurdisk ungdom her ser på skolegang, videre utdanningsmuligheter, arbeid og fremtid. Målet med studien er å løfte frem stemmene til en gruppe ungdom som, selv om de er mange, sjelden blir hørt.",Margareth Barndon,UiB,MAXMUR,Kariane Westreheim,Margareth Barndon,Margareth Barndon,Margareth Barndon,
